APPL_ID,POD_ID,LATITUDE,LONGITUDE,WATERSHED,SUBWATERSHED,LEGAL_DELTA,WEIGHT_DIR,WEIGHT_STOR
A000018,28034,39.7903,-122.051,Sacramento,Upper Sacramento Valley,FALSE,0.333333333,0.333333333
A000018,28035,39.79451222,-122.0544735,Sacramento,Upper Sacramento Valley,FALSE,0.333333333,0.333333333
A000018,28036,39.79451222,-122.0544735,Sacramento,Upper Sacramento Valley,FALSE,0.333333333,0.333333333
A000023,23233,37.00259775,-119.7072244,San Joaquin,Upper San Joaquin,FALSE,1,1
A000026,405,38.82177688,-122.7564531,Sacramento,Cache,FALSE,1,1
A000027,6231,39.19366313,-121.9536262,Sacramento,Sacramento Valley Floor,FALSE,0.333333333,0.333333333
A000027,6232,39.21275469,-121.9913783,Sacramento,Sacramento Valley Floor,FALSE,0.333333333,0.333333333
A000027,6233,39.40769449,-122.0070141,Sacramento,Sacramento Valley Floor,FALSE,0.333333333,0.333333333
A000065,25641,41.09927964,-120.9185008,Sacramento,Sacramento Bend,FALSE,1,1
A000077A,40742,38.39331524,-119.9971641,San Joaquin,Stanislaus,FALSE,1,1
A000135,8679,41.41144377,-120.7469377,Sacramento,Sacramento Bend,FALSE,1,1
A000138,40744,38.5905185,-121.3275802,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000138,40745,38.6306687,-121.2914934,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000186,34882,39.3324618,-122.0293688,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000230A,29037,39.28661215,-122.0162775,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000230A,29038,39.29073076,-122.0152184,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000230B,14362,39.29484914,-122.015926,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000234,17610,37.00259775,-119.7072244,San Joaquin,Upper San Joaquin,FALSE,1,1
A000244,15867,39.42265744,-122.0117059,Sacramento,Sacramento Valley Floor,FALSE,0,0
A000244,15868,39.78957281,-122.0498436,Sacramento,Upper Sacramento Valley,FALSE,0.5,0.5
A000244,15869,39.55375633,-122.0033928,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000245,8680,41.043019,-121.672604,Sacramento,Sacramento Bend,FALSE,1,1
A000301,43172,37.79053635,-121.5150323,San Joaquin,San Joaquin Valley Floor,TRUE,1,1
A000322,6235,40.05516653,-122.0320554,Sacramento,Upper Sacramento Valley,FALSE,1,1
A000322,6236,40.03572226,-122.0487738,Sacramento,Upper Sacramento Valley,FALSE,0,0
A000334,40747,39.7992,-122.4394,Sacramento,Stony,FALSE,0.5,0.5
A000334,40748,39.8011,-122.4328,Sacramento,Stony,FALSE,0.5,0.5
A000338,20018,41.7317367,-120.6591132,Sacramento,Sacramento Bend,FALSE,0,0.5
A000338,67960,41.70831075,-120.6798494,Sacramento,Sacramento Bend,FALSE,0,0.5
A000338,67961,41.68919404,-120.6966964,Sacramento,Sacramento Bend,FALSE,1,0
A000405,25642,37.89215368,-120.8482725,San Joaquin,San Joaquin Valley Floor,FALSE,0.5,0.5
A000405,25643,37.88974617,-120.8257365,San Joaquin,San Joaquin Valley Floor,FALSE,0.5,0.5
A000420,40753,40.87229203,-121.8600786,Sacramento,Sacramento Bend,FALSE,1,1
A000421,17637,41.55301777,-120.7672603,Sacramento,Sacramento Bend,FALSE,1,1
A000462,17638,39.55787241,-122.0225456,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000462,29041,39.45763253,-122.0855566,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000462,33997,39.54178325,-122.0842405,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000462,34885,39.50952539,-122.0817208,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000462,38988,39.5435682,-122.0837108,Sacramento,Sacramento Valley Floor,FALSE,0,0
A000462,38989,39.55826406,-122.0723785,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000462,40754,39.55375633,-122.0033928,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000462,40755,39.78957281,-122.0498436,Sacramento,Upper Sacramento Valley,FALSE,0.142857143,0.142857143
A000476,40756,39.85141448,-121.5772592,Sacramento,Upper Sacramento Valley,FALSE,0.5,0.5
A000476,40757,39.81574376,-121.5821024,Sacramento,Upper Sacramento Valley,FALSE,0.5,0.5
A000480,20110,39.00688273,-121.5789538,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000481,23240,39.46432263,-120.8442187,Sacramento,Yuba,FALSE,1,1
A000486,17639,41.3759,-120.7828,Sacramento,Sacramento Bend,FALSE,1,1
A000533,413,38.66672452,-122.4458866,Sacramento,Putah,FALSE,1,1
A000534,23241,38.80312326,-121.5738437,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
A000534,23242,38.79275194,-121.5912738,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
A000534,31602,38.73073554,-121.602848,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
A000534,31603,38.63530479,-121.5620698,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
A000534,31604,38.70552454,-121.6180576,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
A000534,31605,38.78071559,-121.6043228,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
A000548,8769,38.84311211,-121.1545424,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000548,8770,38.8441,-121.1528,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000575,416,38.85643193,-121.7865141,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000575,417,38.80522772,-121.7242037,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000576,37412,38.85643193,-121.7865141,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000576,37413,38.90809744,-121.8120127,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000576,37414,38.92955314,-121.837266,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000576,37415,38.95427059,-121.8410773,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000576,37416,38.98938027,-121.8167222,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000576,37417,38.99924047,-121.8019179,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000576,37418,39.01218814,-121.8282773,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000577,23243,38.85643193,-121.7865141,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000577,23244,38.80522772,-121.7242037,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000581,17640,39.02783,-121.8222552,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000581,17641,38.7982936,-121.69651,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000581,17642,38.87036973,-121.7534555,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000581,17643,39.02123684,-121.8201597,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000596,12050,41.60755358,-120.5128038,Sacramento,Sacramento Bend,FALSE,1,1
A000640,419,39.55787241,-122.0225456,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000640,8773,39.5435682,-122.0837108,Sacramento,Sacramento Valley Floor,FALSE,0,0
A000640,8774,39.55826406,-122.0723785,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000640,12051,39.54178325,-122.0842405,Sacramento,Sacramento Valley Floor,FALSE,0,0
A000640,12052,39.45763253,-122.0855566,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000640,20112,39.55375633,-122.0033928,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000640,20113,39.78957281,-122.0498436,Sacramento,Upper Sacramento Valley,FALSE,0.142857143,0.142857143
A000640,22427,39.54178325,-122.0842405,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000640,29045,39.50952539,-122.0817208,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000654,34887,38.70787498,-120.0500018,Sacramento,Upper American,FALSE,0.5,0.5
A000654,37419,38.85982235,-120.1375106,Sacramento,Upper American,FALSE,0.5,0.5
A000657,31606,39.14203381,-121.9328572,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000685,8775,39.91455246,-120.8225221,Sacramento,Upper Feather,FALSE,1,1
A000732,6289,37.78060456,-121.4879054,San Joaquin,San Joaquin Valley Floor,TRUE,1,1
A000735,23267,38.91783075,-121.9156717,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000742,17689,39.02783,-121.8222552,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000742,17690,39.0592937,-121.8389046,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000760,17691,41.68209785,-120.4410018,Sacramento,Sacramento Bend,FALSE,1,1
A000760,17692,41.43600957,-120.4504701,Sacramento,Sacramento Bend,FALSE,0,0
A000763,34932,38.85643193,-121.7865141,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000763,34933,38.98938027,-121.8167222,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000763,34934,38.90809744,-121.8120127,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000763,34935,38.92955314,-121.837266,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000763,34936,38.95427059,-121.8410773,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000763,34937,38.99924047,-121.8019179,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000763,34938,39.01218814,-121.8282773,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000770,17693,39.78957281,-122.0498436,Sacramento,Upper Sacramento Valley,FALSE,0.5,0.5
A000770,17694,39.42265744,-122.0117059,Sacramento,Sacramento Valley Floor,FALSE,0,0
A000770,17695,39.55375633,-122.0033928,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A000771,44793,39.06688199,-121.8682971,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000772,55028,40.8511,-121.8905,Sacramento,Sacramento Bend,FALSE,1,1
A000784,465,40.50036232,-122.6967744,Sacramento,Sacramento Bend,FALSE,1,1
A000829,31607,37.12811263,-119.5251168,San Joaquin,Upper San Joaquin,FALSE,1,1
A000862,25735,37.94485045,-119.993675,San Joaquin,Tuolumne,FALSE,1,1
A000878,14434,38.7982936,-121.69651,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000878,14435,38.87036973,-121.7534555,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000878,14436,39.02123684,-121.8201597,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000878,14437,39.02783,-121.8222552,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000879,6290,38.7982936,-121.69651,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000879,6291,38.87036973,-121.7534555,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000879,6292,39.02123684,-121.8201597,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000879,6293,39.02783,-121.8222552,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000880A,3001,38.7982936,-121.69651,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000880A,3002,38.87036973,-121.7534555,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000880A,3003,39.02123684,-121.8201597,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000880A,3004,39.02783,-121.8222552,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A000880B,17697,38.8987453,-121.8021988,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000880C,29093,39.0232,-121.8209,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000882A,37420,38.80243236,-121.7042125,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000882B,40804,38.80218081,-121.7133372,Sacramento,Sacramento Valley Floor,FALSE,1,1
A000892,12086,39.54178325,-122.0842405,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000892,12087,39.45763253,-122.0855566,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000892,14438,39.50952539,-122.0817208,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000892,25736,39.55826406,-122.0723785,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000892,29094,39.78957281,-122.0498436,Sacramento,Upper Sacramento Valley,FALSE,0.142857143,0.142857143
A000892,29095,39.55375633,-122.0033928,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000892,34939,39.55800969,-122.0225457,Sacramento,Sacramento Valley Floor,FALSE,0.142857143,0.142857143
A000930,20115,41.56170033,-120.4902684,Sacramento,Sacramento Bend,FALSE,0.5,0.5
A000930,20116,41.55862269,-120.485771,Sacramento,Sacramento Bend,FALSE,0.5,0.5
A000959,25737,39.03979109,-121.3345828,Sacramento,Bear,FALSE,0.5,0.5
A000959,25738,39.04329769,-121.3236345,Sacramento,Bear,FALSE,0.5,0.5
A000992,31609,41.37727809,-120.4308943,Sacramento,Sacramento Bend,FALSE,1,1
A000993,12088,41.37727809,-120.4308943,Sacramento,Sacramento Bend,FALSE,1,1
A000994,34940,41.37727809,-120.4308943,Sacramento,Sacramento Bend,FALSE,1,1
A001024,29097,40.02908115,-121.0646085,Sacramento,Upper Feather,FALSE,1,1
A001036,467,38.87087198,-122.627007,Sacramento,Cache,FALSE,1,1
A001041,8776,39.9628,-122.0334,Sacramento,Upper Sacramento Valley,FALSE,1,1
A001042,3006,41.48812395,-120.4892171,Sacramento,Sacramento Bend,FALSE,0,1
A001042,3007,41.48812395,-120.4892171,Sacramento,Sacramento Bend,FALSE,0,0
A001042,23272,41.68209785,-120.4410018,Sacramento,Sacramento Bend,FALSE,1,0
A001042,23273,41.43600957,-120.4504701,Sacramento,Sacramento Bend,FALSE,0,0
A001056,12089,38.60523117,-121.5258606,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,12090,38.63530479,-121.5620698,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,12091,38.64990885,-121.5756362,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,12092,38.70552454,-121.6180576,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,12093,38.73073554,-121.602848,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,12094,38.78071559,-121.6043228,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,34943,38.80312326,-121.5738437,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001056,34944,38.79275194,-121.5912738,Sacramento,Sacramento Valley Floor,FALSE,0.125,0.125
A001060,40807,38.66045116,-121.606042,Sacramento,Sacramento Valley Floor,FALSE,1,1
A001061,40808,38.64827671,-121.5798478,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001061,40809,38.64554355,-121.5833654,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001061,40810,38.64999031,-121.5983964,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001061,40811,38.65632276,-121.6032633,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001074A,29098,39.06506029,-121.8392438,Sacramento,Sacramento Valley Floor,FALSE,1,1
A001074B,34946,39.06832168,-121.8667095,Sacramento,Sacramento Valley Floor,FALSE,0,0
A001074B,34947,39.08070255,-121.890289,Sacramento,Sacramento Valley Floor,FALSE,0.333333333,0.333333333
A001074B,34948,39.11105452,-121.9031059,Sacramento,Sacramento Valley Floor,FALSE,0.333333333,0.333333333
A001074B,34950,39.14730859,-121.9165439,Sacramento,Sacramento Valley Floor,FALSE,0.333333333,0.333333333
A001081,17700,37.95363061,-120.5149047,San Joaquin,Stanislaus,FALSE,1,1
A001094,34951,38.66045116,-121.606042,Sacramento,Sacramento Valley Floor,FALSE,1,1
A001108,468,41.70703718,-120.6592517,Sacramento,Sacramento Bend,FALSE,1,0
A001108,469,41.70700034,-120.680129,Sacramento,Sacramento Bend,FALSE,0,0.5
A001108,67962,41.73175193,-120.6592968,Sacramento,Sacramento Bend,FALSE,0,0.5
A001150,470,38.35029124,-121.64541,Sacramento,Sacramento Valley Floor,TRUE,0.5,0.5
A001150,471,38.35522514,-121.6425958,Sacramento,Sacramento Valley Floor,TRUE,0.5,0.5
A001160,23275,38.7982936,-121.69651,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001160,23276,38.87036973,-121.7534555,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001160,23277,39.02123684,-121.8201597,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001160,23278,39.02783,-121.8222552,Sacramento,Sacramento Valley Floor,FALSE,0.25,0.25
A001164,43270,41.36355201,-120.6494727,Sacramento,Sacramento Bend,FALSE,1,1
A001177,40813,39.42045436,-121.81631,Sacramento,Upper Sacramento Valley,FALSE,1,1
A001178,14440,38.50655251,-122.243253,Sacramento,Putah,FALSE,1,1
A001179,34952,39.34371874,-122.029727,Sacramento,Sacramento Valley Floor,FALSE,1,1
A001193,3008,39.46738426,-120.8484196,Sacramento,Yuba,FALSE,0.333333333,0.333333333
A001193,6295,39.46738426,-120.8484196,Sacramento,Yuba,FALSE,0.333333333,0.333333333
A001193,17701,39.46738426,-120.8484196,Sacramento,Yuba,FALSE,0.333333333,0.333333333
A001195,8777,37.6655764,-121.2144691,San Joaquin,Stanislaus,FALSE,0.5,0.5
A001195,8778,37.64021923,-121.2290769,San Joaquin,San Joaquin Valley Floor,FALSE,0.5,0.5
A001199A,59048,38.6759,-121.63,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A001199A,59049,38.6765,-121.6307,Sacramento,Sacramento Valley Floor,FALSE,0.5,0.5
A001199A,59054,38.6464,-121.6664,Sacramento,Sacramento Valley Floor,FALSE,0,0
A001199A,59055,38.6476,-121.6886,Sacramento,Sacramento Valley Floor,FALSE,0,0
A001199B,59050,38.6759,-121.63,Sacramento,Sacramento Valley Floor,FALSE,1,1
A001199B,59052,38.64642213,-121.6664089,Sacramento,Sacramento Valley Floor,FALSE,0,0
A001199B,59053,38.6476,-121.6886,Sacramento,Sacramento Valley Floor,FALSE,0,0
A001203,8779,38.80312326,-121.5738437,Sacramento,Sacramento Valley Floor,FALSE,0.166666667,0.166666667
