APPL_ID,DIR_QAQC_2018_01_AF,DIR_QAQC_2018_02_AF,DIR_QAQC_2018_03_AF,DIR_QAQC_2018_04_AF,DIR_QAQC_2018_05_AF,DIR_QAQC_2018_06_AF,DIR_QAQC_2018_07_AF,DIR_QAQC_2018_08_AF,DIR_QAQC_2018_09_AF,DIR_QAQC_2018_10_AF,DIR_QAQC_2018_11_AF,DIR_QAQC_2018_12_AF,STOR_QAQC_2018_01_AF,STOR_QAQC_2018_02_AF,STOR_QAQC_2018_03_AF,STOR_QAQC_2018_04_AF,STOR_QAQC_2018_05_AF,STOR_QAQC_2018_06_AF,STOR_QAQC_2018_07_AF,STOR_QAQC_2018_08_AF,STOR_QAQC_2018_09_AF,STOR_QAQC_2018_10_AF,STOR_QAQC_2018_11_AF,STOR_QAQC_2018_12_AF,DIR_QAQC_2019_01_AF,DIR_QAQC_2019_02_AF,DIR_QAQC_2019_03_AF,DIR_QAQC_2019_04_AF,DIR_QAQC_2019_05_AF,DIR_QAQC_2019_06_AF,DIR_QAQC_2019_07_AF,DIR_QAQC_2019_08_AF,DIR_QAQC_2019_09_AF,DIR_QAQC_2019_10_AF,DIR_QAQC_2019_11_AF,DIR_QAQC_2019_12_AF,STOR_QAQC_2019_01_AF,STOR_QAQC_2019_02_AF,STOR_QAQC_2019_03_AF,STOR_QAQC_2019_04_AF,STOR_QAQC_2019_05_AF,STOR_QAQC_2019_06_AF,STOR_QAQC_2019_07_AF,STOR_QAQC_2019_08_AF,STOR_QAQC_2019_09_AF,STOR_QAQC_2019_10_AF,STOR_QAQC_2019_11_AF,STOR_QAQC_2019_12_AF
A000018,0,0,0,1246,5989,5802,6004,4197,893,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.5,4836.8,5226.3,5950.5,4875,1082.2,1043.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000023,0,0,0,22195,22145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22195,22145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000026,0,0,0,0,0.04143,0.04143,0.04143,0.04143,0.04143,0.04143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04143,0.04143,0.04143,0.04143,0.04143,0.04143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000027,0,0,0,835,10207,9878,10207,6260,4836,4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,6944,8101,10207,6943,2602,4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016572,0.016572,0.008286,0.008286,0.008286,0.038116,0.038116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000077A,0,0,0,0,0,0,0,0,0,0,0,0,147,0,727,2190,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,1295,1795,898,0,0,0,0,0,0
A000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000138,304,299,312,323,527,625,679,573,471,567,454,326,0,0,0,0,0,0,0,0,0,0,0,0,300,264,301,409,498,641,696,701,647,550,502,331,0,0,0,0,0,0,0,0,0,0,0,0
A000186,0,0,0,446.28,461.16,446.28,461.16,461.16,446.28,461.16,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.28,461.16,446.28,461.16,461.16,446.28,461.16,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0
A000230A,0,0,7.1,8,10.4,13.3,14,3.7,3.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,75,68,36,14,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0
A000230B,0,0,0,53,97,425,425,425,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,117,425,425,425,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000234,12382.7,19987.6,10885.4,131218,131107.2,87259.1,108648.6,67249.2,51329.2,45669.3,20749.1,12092.6,1493,0,77019,72266,36570,15126,0,0,4704,4874,12763,5153,11577.4,95009,134782.7,161764.4,163654.6,178331.8,182432.7,133462.6,89717,55595.5,20766,14906.6,21190,49887,0,42857,67546,132319,8057,0,0,0,0,40437
A000244,0,0,0,980,4307,4431,3568,2333,350,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,4022,4057,4126,3226,390,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,30,30,30,30,30,0,0
A000301,0,0,0,856.23,1728.53,1849.28,2050.41,1567.21,908.33,441.44,218.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667.17,1196.72,1847.09,1811.3,1226.34,737.25,614.72,51.25,0,0,0,0,0,0,0,0,0,0,0,0,0
A000322,61,59,95,97,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,400,0,0,0,0,0,0,0,0,0,0
A000405,0.04,0.04,0.04,0.04,21.5,32.25,33.25,33.42,31.42,30.42,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,21.5,32.25,33.25,33.42,31.42,30.42,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0
A000420,0,0,0,0,93.23,90.22,93.23,93.23,90.22,93.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2.25,2.25,2.25,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000421,0,0,0,0,0,0,0,0,0,0,0,0,397.973,356.0811,544.5946,0,0,0,0,0,0,0,83.7838,167.5676,0,0,0,0,0,0,0,0,0,0,0,0,418.9189,544.5946,335.1351,0,0,0,0,0,0,0,0,251.3514
A000462,0,0,0,1478,11856,12967,15285,12019,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,11445,12771,15372,13015,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000476,0,0,0,0,424,0,0,0,76,0,0,0,1911,35,92,19,0,0,0,24,0,0,0,3588,0,0,0,0,0,0,0,0,0,90,0,0,2557,3766,0,0,81,125,10,0,0,0,0,0
A000480,0,0,0,174,1681,1192,333,124,313,825,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,893,2010,825,1186,1906,909,570,0,0,0,0,0,0,0,0,0,0,0,0,0
A000481,1.025,0.926,1.025,0.992,1.025,0.992,1.025,1.025,0.992,1.025,0.992,1.025,0,0,0,0,0,0,0,0,0,0,0,0,0.926,1.025,1.025,0.992,0.992,1.025,1.025,1.025,0.992,0.926,0.992,1.025,0,0,0,0,0,0,0,0,0,0,0,0
A000486,0,0,0,0,0,0,0,0,0,0,0,0,45,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,0,0
A000533,0,0,0,0,0,0.4,0.6,0.7,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.68,0.68,0.65,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000534,0,0,0,252,2534,2452,2534,2534,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2534,2452,2534,2534,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000575,0,0,0,41,1968,1904,1737,1308,389,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1968,1854,1968,1968,398,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000576,0,430,254,1081,11068,10711,11068,11068,2407,4670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,9,1384,11068,10711,11068,11068,3431,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000577,0,0,0,0,598,423,1201,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,258,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000581,0,0,1318,2678,2767,2678,2767,2767,2678,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,2767,2678,2767,2767,2678,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000596,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,65,55,70,0,0,0,0,0,0
A000640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,7033,2122,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,1729,1146,766,51,0,0,0,0,83
